size,nanoseconds
0,1100
10000,680000
20000,1278900
30000,1822500
40000,2503700
50000,3013700
60000,3862600
70000,4309300
80000,5089000
90000,5560700
100000,6160100
110000,6977200
120000,7287900
130000,8035500
140000,8842600
150000,9253500
160000,10068500
170000,10526300
180000,11294100
190000,11944500
