size,nanoseconds
190000,4600
180000,6000
170000,6300
160000,7800
150000,5600
140000,5300
130000,6700
120000,8900
110000,8200
100000,6200
90000,7900
80000,8000
70000,5300
60000,5800
50000,5600
40000,6000
30000,6200
20000,5000
10000,5100
0,2900
