size,nanoseconds
0,7200
10000,5492200
20000,10324400
30000,14901100
40000,23723700
50000,28756100
60000,34833700
70000,47787100
80000,52304100
90000,58139600
100000,66259800
110000,74640200
120000,78726600
130000,84457800
140000,101351400
150000,110606200
160000,114059400
170000,122598700
180000,128561300
190000,135743200
