size,nanoseconds
0,3500
10000,900
20000,700
30000,800
40000,500
50000,700
60000,700
70000,400
80000,700
90000,700
100000,700
110000,700
120000,600
130000,700
140000,800
150000,700
160000,800
170000,800
180000,1000
190000,600
