size,nanoseconds
0,16300
10000,4865700
20000,10078300
30000,14968900
40000,19948600
50000,24859900
60000,29847500
70000,34677700
80000,40121800
90000,45039200
100000,50395300
110000,55463000
120000,60873000
130000,65888200
140000,70874300
150000,76064600
160000,81614100
170000,86711400
180000,91681400
190000,96958300
