size,nanoseconds
0,16700
10000,4774600
20000,10737600
30000,14223600
40000,19015700
50000,24591300
60000,28815400
70000,33815800
80000,38336700
90000,43272400
100000,51540300
110000,55813600
120000,61135000
130000,63636200
140000,67666300
150000,73688600
160000,79531400
170000,84902400
180000,118010500
190000,97706500
