size,nanoseconds
0,1400
10000,621300
20000,1247900
30000,1806800
40000,2436600
50000,3002200
60000,3600800
70000,4452500
80000,4954400
90000,5667400
100000,6162800
110000,6801700
120000,7349600
130000,8158100
140000,8693000
150000,9394300
160000,10039500
170000,10398100
180000,11365200
190000,12418300
