size,nanoseconds
0,4700
10000,4516600
20000,9109600
30000,13611100
40000,18184400
50000,22773300
60000,27597200
70000,32099900
80000,36873100
90000,41501100
100000,46519000
110000,51355500
120000,56959300
130000,63400800
140000,66568200
150000,69523300
160000,74640600
170000,78631600
180000,83999000
190000,90116100
