size,nanoseconds
0,15200
10000,4763700
20000,9422800
30000,14277000
40000,19179000
50000,24737800
60000,29179600
70000,33718400
80000,38364700
90000,43676400
100000,48794100
110000,55063600
120000,60256500
130000,64125000
140000,68341500
150000,73096300
160000,79050100
170000,89395500
180000,88832100
190000,92828000
