size,nanoseconds
190000,5200
180000,6400
170000,6400
160000,7700
150000,6000
140000,5100
130000,7200
120000,9400
110000,8600
100000,6100
90000,7900
80000,15000
70000,5100
60000,5900
50000,5700
40000,5500
30000,6500
20000,5700
10000,5200
0,3300
