size,nanoseconds
0,14000
10000,4829200
20000,9744700
30000,14731900
40000,24104800
50000,24533500
60000,29562700
70000,34441700
80000,39867700
90000,44324400
100000,51062300
110000,55631800
120000,60429200
130000,66507000
140000,69827900
150000,74439000
160000,80880500
170000,84044000
180000,90965500
190000,97459800
