size,nanoseconds
0,16200
10000,8700
20000,9000
30000,9800
40000,9900
50000,10000
60000,9600
70000,7600
80000,12200
90000,10300
100000,9500
110000,66500
120000,14400
130000,9700
140000,39100
150000,9100
160000,11200
170000,7900
180000,9600
190000,7100
