size,nanoseconds
190000,5100
180000,6400
170000,5800
160000,8300
150000,6300
140000,4600
130000,7700
120000,9500
110000,8100
100000,6300
90000,7800
80000,8000
70000,5400
60000,6300
50000,6100
40000,5900
30000,7000
20000,5400
10000,5700
0,3100
