size,nanoseconds
190000,700
180000,300
170000,400
160000,200
150000,200
140000,400
130000,600
120000,400
110000,500
100000,600
90000,400
80000,400
70000,400
60000,300
50000,500
40000,500
30000,500
20000,400
10000,300
0,600
