size,nanoseconds
0,16100
10000,4863700
20000,9757900
30000,14499200
40000,19599600
50000,24316000
60000,29440900
70000,34724500
80000,39499500
90000,44789100
100000,49711400
110000,54804800
120000,59656000
130000,66312700
140000,71605400
150000,76272400
160000,79581900
170000,85219600
180000,97620900
190000,103570800
