size,nanoseconds
0,14800
10000,4752000
20000,9414200
30000,14425000
40000,19216900
50000,24001500
60000,28597000
70000,33236500
80000,39083700
90000,44221000
100000,48590400
110000,53398500
120000,58025700
130000,63364000
140000,67897200
150000,72510600
160000,79479600
170000,84129900
180000,87809700
190000,114770200
