size,nanoseconds
0,17200
10000,8400
20000,9900
30000,9300
40000,8800
50000,11000
60000,10200
70000,7500
80000,12200
90000,10700
100000,9000
110000,31000
120000,14700
130000,9200
140000,9600
150000,9600
160000,11400
170000,8700
180000,8500
190000,6700
