size,nanoseconds
0,4700
10000,4540300
20000,9145600
30000,13671200
40000,18387100
50000,24909000
60000,27378000
70000,32074300
80000,36849900
90000,41002500
100000,45903800
110000,51532700
120000,56572600
130000,61091100
140000,66620700
150000,69475400
160000,73733300
170000,78192000
180000,83296700
190000,87978500
