size,nanoseconds
0,1000
10000,1100
20000,900
30000,1600
40000,1400
50000,2600
60000,1800
70000,2400
80000,2900
90000,2300
100000,2500
110000,2200
120000,2500
130000,2400
140000,2600
150000,2500
160000,2900
170000,2600
180000,2900
190000,3000
