size,nanoseconds
0,8400
10000,5348800
20000,10886200
30000,15133700
40000,23280800
50000,30021600
60000,35473300
70000,46289600
80000,52264300
90000,57631600
100000,67108700
110000,72947100
120000,77359500
130000,83959300
140000,100462000
150000,109860000
160000,115352700
170000,123735500
180000,130738300
190000,133979400
