size,nanoseconds
0,4900
10000,11100
20000,13800
30000,11200
40000,14500
50000,14100
60000,17200
70000,14800
80000,17000
90000,13600
100000,21100
110000,20100
120000,18700
130000,16200
140000,18100
150000,31200
160000,14100
170000,16800
180000,18000
190000,19800
