size,nanoseconds
190000,800
180000,800
170000,400
160000,700
150000,500
140000,500
130000,300
120000,400
110000,300
100000,400
90000,700
80000,400
70000,200
60000,500
50000,300
40000,300
30000,400
20000,500
10000,400
0,400
