size,nanoseconds
0,8400
10000,5434900
20000,10911900
30000,15406100
40000,23231700
50000,30474700
60000,35516500
70000,46188300
80000,52411700
90000,60090900
100000,66406900
110000,84326600
120000,90357700
130000,102204400
140000,128593600
150000,127462600
160000,136812300
170000,142820400
180000,145456600
190000,153330400
