size,nanoseconds
0,1000
10000,1000
20000,1300
30000,2500
40000,1800
50000,2900
60000,2900
70000,4300
80000,3300
90000,2800
100000,2300
110000,2700
120000,2600
130000,3300
140000,5000
150000,3900
160000,3400
170000,3900
180000,3900
190000,3600
