size,nanoseconds
190000,800
180000,1000
170000,500
160000,500
150000,500
140000,400
130000,500
120000,200
110000,500
100000,400
90000,500
80000,400
70000,200
60000,400
50000,200
40000,400
30000,400
20000,400
10000,200
0,600
