size,nanoseconds
0,5300
10000,11400
20000,14300
30000,13200
40000,16600
50000,14200
60000,12500
70000,17600
80000,15200
90000,15300
100000,15800
110000,16300
120000,18100
130000,18600
140000,19800
150000,40100
160000,17000
170000,12500
180000,15600
190000,14300
