size,nanoseconds
190000,800
180000,500
170000,300
160000,400
150000,800
140000,500
130000,300
120000,400
110000,200
100000,200
90000,400
80000,200
70000,300
60000,400
50000,500
40000,400
30000,500
20000,800
10000,300
0,400
