size,nanoseconds
0,4400
10000,4678600
20000,9003800
30000,13483900
40000,18345700
50000,23142200
60000,27466200
70000,31988600
80000,36577600
90000,41656700
100000,46030100
110000,51418400
120000,56849100
130000,62469700
140000,66543700
150000,69308000
160000,73885700
170000,89214900
180000,83736900
190000,100457300
