size,nanoseconds
0,1000
10000,900
20000,1500
30000,1600
40000,1700
50000,2100
60000,1800
70000,2100
80000,2000
90000,3200
100000,2900
110000,3700
120000,2800
130000,2600
140000,3000
150000,2600
160000,3200
170000,3100
180000,3700
190000,3200
